0.2;0.4;0.6;0.8;;;;;;;
21369;21293;21390;21392;;21392;;0,107516829;0,462789828;0,009349289;0
21438;21432;21401;21364;;21438;;0;0,027987685;0,172590727;0,345181453
21350;21346;21260;21327;;21350;;0;0,018735363;0,421545667;0,107728337
21391;21392;21389;21484;;21484;;0,432880283;0,428225656;0,442189536;0
21334;21422;21440;21337;;21440;;0,494402985;0,083955224;0;0,480410448
21475;21489;21354;21403;;21489;;0,065149611;0;0,628228396;0,400204756
21487;21498;21484;21429;;21498;;0,05116755;0;0,065122337;0,320960089
21363;21391;21626;21388;;21626;;1,216128734;1,086654952;0;1,100527143
;;;;;;;0,295905749;0,263543589;0,217378244;0,344376528
